ID_Jogador,Nome_Jogador,Posição,Gols_Marcados,Assistências,Faltas_Cometidas,Minutos_Jogados,Número_da_Camisa,Altura_cm,Peso_kg
87,Jogador A,Goleiro,7,19,1,3916,36,186.6522754334016,61.91323281576422
88,Jogador C,Defensor,28,10,1,849,3,164.87047644501098,61.520873929498194
89,Jogador D,Meia,22,4,8,1786,73,179.12936092192288,89.84829029927354
90,Jogador A,Defensor,20,14,6,3922,8,180.24430219387003,86.36142136814723
91,Jogador C,Goleiro,22,4,2,3679,97,169.3020543346152,92.0852223251035
92,Jogador D,Atacante,18,11,0,1562,70,163.1986157743721,64.21470135811224
93,Jogador B,Atacante,11,4,7,3456,41,191.0689452188677,61.42283468142193
94,Jogador C,Goleiro,17,16,5,2706,68,164.8814020849758,80.34317157790314
95,Jogador A,Atacante,5,16,6,3506,13,183.771630022471,75.50380925931078
96,Jogador A,Meia,17,11,8,2859,49,197.45796695534642,78.47787746683824
97,Jogador C,Goleiro,18,14,4,3812,60,195.0442077039217,99.66353635481096
98,Jogador C,Defensor,21,14,0,944,2,171.11010494997043,98.82999830682681
99,Jogador A,Goleiro,4,5,9,2845,60,194.05794550205061,97.69261558692772
100,Jogador B,Meia,23,11,6,1451,5,160.0133002448196,91.35370707070695
